id,korean,english,sample_sentence
481,프라이팬,frying pan,"프라이팬에 기름을 넣으세요. / Put some oil on the frying pan."
482,도마,cutting board,"요리사는 도마 위에서 삶은 계란을 자르고 있습니다. / The cook is cutting a hard-boiled egg on the cutting board."
483,싱크대,sink,"그릇은 전부 싱크대에 놓으세요. / Please put all the dishes in the sink."
484,그릇,bowl,"밥 그릇이 아주 큰데요? / That's a very big rice bowl"
485,출구,exit,"강남역 6번 출구에서 만나자. / Let's meet at exit number six of Gangnam station."
486,지도,map,"지도 좀 주실래요? / Could I get a map?"
487,여행 가방,suitcase,"여행 가방 안에 귀중품을 두지 마세요. / Don't leave valuables in your suitcase."
488,관광객,tourist,"관광객입니까? / Are you a tourist?"
489,정치,politics,"저는 정치와 같이 격해질 수 있는 주제는 토론하지 않습니다. / I don't discuss topics that can get heated"
490,생물학,biology,"저는 생물학 수업이 제일 좋아요. / I like the biology class the most."
491,화학,chemistry,"화학 시간에는 공식을 많이 외워야 해요. / In chemistry class"
492,물리학,physics,"뉴턴의 법칙은 현대 물리학의 초석을 다졌다. / Newton's laws laid the groundwork for modern physics."
493,경제학,economics,"이 대학은 경제학 강의가 훌륭합니다. / This university has excellent economics lectures."
494,놓다,put,"이 상자를 선반 맨 위에 놓아주세요. / Please put this box on the top shelf."
495,기억하다,remember,"그걸 아직 기억하다니 신기해요. / It’s amazing that you still remember it. "
496,잡다,hold,"화병을 한 손으로 잡는 것은 위험해요. / It’s dangerous to hold a vase with one hand. [cite: 2027"
497,쇼핑 카트,shopping cart,"쇼핑 카트가 비어있어요. / The shopping cart is empty. [cite: 2029"
498,비닐 봉지,plastic bag,"식료품을 살 때에는 비닐 봉지 대신에 천 가방을 사용하세요. / When grocery shopping"
499,코미디,comedy,"웃는 것을 좋아해서 코미디를 보는 것을 좋아합니다. / I love to watch comedy"
500,소설,novel,"어떤 소설 좋아하세요? / What kind of novel do you like? "
501,코코아,cocoa,"초콜렛은 카카오 나무의 코코아 씨로 만듭니다. / Chocolate is made from the cocoa seed of the cacao tree. [cite: 2035"
502,청량 음료,soft drink,"청량 음료는 일반적으로 알코올이 함유되어 있지 않고"
503,주스,juice,"저는 아침 식사와 함께 오렌지 주스를"
504,책장,bookshelf,"책장은 책으로 가득 찼습니다. / The bookshelf is full of books. "
505,침대,bed,"숙제는 침대 밑에 숨겼어. / I hid my homework under my bed. [cite: 2044"
506,거울,mirror,"저는 매일 아침 거울을 보는 것이 싫습니다. / I hate to look into the mirror every morning. "
507,서랍장,dresser,"나무 서랍장은 골동품입니다. / The wooden dresser is an antique. "
508,쓸다,sweep,"여자가 밖을 쓸고 있다. / The woman sweeps outside. "
509,치우다,put away,"장난감을 치워. / Put away your toys. "
510,대걸레로 닦다,mop,"주스를 흘렸으니 대걸레로 닦을게요. / I spilled the juice"
511,웨이트리스,waitress,"웨이트리스가 컵이 올려진 쟁반을 들고 있다. / The waitress is holding a tray with glasses. "
512,화씨,Fahrenheit,"물은 화씨 삼십이 도에서 업니다. / Water freezes at thirty-two degrees Fahrenheit. "
513,온도,temperature,"겨울은 가장 짧은 낮과 가장 낮은 온도를 가진 계절입니다. / Winter is the season of shortest days and coldest temperatures. [cite: 2053"
514,습한,humid,"팔월은 습해요. / It’s humid in August. "
515,바람이 부는,windy,"저는 비가 오는 날도 바람이 부는 날도 신문을 배달해야 합니다. / I have to deliver newspapers on rainy days and windy days. [cite: 2056"
516,놀이터,playground,"놀이터에 있는 그네와 미끄럼틀은 항상 줄을 서야 합니다. / At the playground"
517,수영장,pool,"우리는 여름에 매일 공용 수영장에서 수영합니다. / We swim at the public pool everyday in the summer. [cite: 2061"
518,테니스,tennis,"여자가 테니스를 치고 있습니다. / The woman is playing tennis. "
519,농구,basketball,"농구 선수들은 대부분 키가 큽니다. / Most basketball players are tall. "
520,리터,liter,"이 병은 콜라 2리터를 담고 있습니다. / The bottle contains 2 liters of cola. "
521,밥,rice,"밥 그릇이 아주 큰데요? / I think your rice bowl is very big. "
522,빵,bread,"매주 일요일 아침 우리는 빵집에서 빵"
523,계란,egg,"요리사가 프라이팬에 계란 프라이를 한다. / The cook fries an egg with a frying pan. "
524,면,noodle,"라면은 밀로 만들었습니다. / Ramen noodles are made out of wheat. "
525,알람 시계,alarm clock,"알람 시계는 새벽 5시로 맞춰져 있습니다. / The alarm clock is set for 5 a.m. "
526,문,door,"남자는 열쇠로 차 문을 열고 있습니다. / The man is unlocking the car door with the key. "
527,리모컨,remote control,"남자는 리모컨으로 텔레비전을 끄고 있습니다. / The man is turning off the TV with the remote control. [cite: 2074"
528,닦다,wipe (verb),"바닥을 닦는 것을 잊지 마세요. / Don’t forget to wipe the floor. "
529,메뉴,menu,"손님은 메뉴를 보고 있습니다. / The customer is looking at the menu. [cite: 2077"
530,잡지,magazine,"이 서점에는 잡지가 정말 많아서 좋아요. / I really like this bookstore because it has so many magazines. "
531,오디오 북,audiobook,"통근하는 동안 저는 오디오 북을 듣습니다. / I listen to audiobooks during my commute to work. [cite: 2080"
532,비디오 게임,video game,"이번 주말에 새 비디오 게임을 살 것입니다. / I’m going to buy a new video game this weekend. "
533,저렴한,cheap,"저는 저렴한 신발을 찾고 있습니다. / I’m looking for a cheap pair of shoes. [cite: 2083"
534,비싼,expensive,"새 기계는 비싼 것 같아요. / I think the new equipment is expensive. "
535,친절한,kind,"어르신에게 꽃을 주는 것은 친절한 행동입니다. / Giving the elderly woman flowers is a kind act. [cite: 2086"
536,무서운,scary,"제 다섯 번째 생일 파티에는 무서운 광대가 있었습니다. / There was a scary clown at my fifth birthday party. "
537,편하게 해주는,relaxing,"음악은 마음을 편하게 해줘요. / Music is relaxing. "
538,파운드,pound,"일 킬로그램은 대략 이 점 이 파운드입니다. / One kilogram is approximately 2.2 pounds. [cite: 2090"
539,마일,mile,"여기에서 저기까지는 대략 일 마일 정도입니다. / The distance between here and there is approximately a mile. "
540,피트 (미터법),foot (metric),"일 피트에는 12인치가 있습니다. / There are twelve inches in a foot. "
541,병,illness,"병으로 인해 저는 몸무게가 줄었습니다. / I lost a lot of weight because of the illness. [cite: 2094"
542,감기,cold,"감기에 걸렸어요. / I caught a cold. "
543,부상,injury,"차 사고는 부상의 주요 요인입니다. / Car accidents are a leading cause of injury. [cite: 2096"
544,약,medicine,"의사는 위통을 위한 약을 주었습니다. / The doctor gave me medicine for my stomach pain. [cite: 2097"
545,통증,pain,"여자는 통증을 느끼고 있습니다. / The woman is in pain. "
546,열,fever,"여자가 열이 있습니다. / The woman has a fever. "
547,창문,window,"남자는 창문을 닫고 있습니다. / The man is closing the window. "
548,알코올,alcohol,"혈액 검사는 그의 혈중 알코올 수치가 아주 높은 것을 찾았습니다. / The blood test found that his blood alcohol level was very high. [cite: 2102"
549,식사,meal,"여자가 식사를 준비했다. / The woman prepared a meal. "
550,안개,fog,"오늘 안개가 심해요. / We have heavy fog today. "
551,우박,hail,"우박이 떨어지고 있습니다. / Hail is falling. "
552,뇌우,thunderstorm,"뇌우를 조심하세요. / Watch out for the thunderstorm. [cite: 2106"
553,수족관,aquarium,"저는 수족관의 물고기가 헤엄치는 모습을 보는 것을 좋아합니다. / I love to watch all the fish swim at the aquarium. [cite: 2108"
554,축구,soccer,"축구는 세계에서 가장 인기있는 스포츠입니다. / Soccer is the world’s most popular sport. "
555,동물원,zoo,"집 근처 동물원에는 중국에서 온 자이언트 판다가 있습니다. / The zoo near our house has a giant panda from China. [cite: 2111"
556,요금,fare,"버스 요금은 얼마입니까? / How much is the bus fare? "
557,버스 정류장,bus stop,"여자가 버스 정류장에서 기다리고 있습니다. / The women are waiting at the bus stop. "
558,그램,gram,"사과는 백오십칠 그램입니다. / The apple weighs 157 grams. "
559,미터,meter,"그것의 촉수의 길이는 이 미터입니다. / Its tentacles are two meters long. "
560,킬로미터,kilometer,"모스크바와 상트 페테르부르크 사이의 거리는 칠백 킬로미터입니다. / The distance between Moscow and St. Petersburg is seven hundred kilometers. [cite: 2116"
561,두통,headache,"두통이 있어서 그러는데 볼륨 좀 줄여주세요. / Please turn down the volume"
562,설사,diarrhea,"이 약은 설사를 멈추게 할 것입니다. / This medicine will stop the diarrhea. [cite: 2120"
563,증상,symptom,"증상이 어떠세요? / What are your symptoms? [cite: 2121"
564,복통,stomachache,"어제 저는 심한 복통이 있었습니다. / Yesterday I had a bad stomach ache. [cite: 2122"
565,청소하다,clean,"방 청소했어요? / Did you clean your room? "
566,말리다,dry,"머리카락 먼저 말려요. / Dry your hair first. "
567,먼지,dust,"여자가 천으로 먼지를 닦고 있습니다. / The woman is dusting with a dust cloth. "
568,진공청소기로 청소하다,vacuum,"손님들이 오기전에 진공청소기로 청소해야 해요. / I have to vacuum the hallway before the guests come. [cite: 2126"
569,교차로,intersection,"중심가의 교차로에서 돈 다음"
570,고속도로,highway,"우리가 고속도로로 가면 약 사십 분정도 걸릴 것입니다. / If we take the highway"
571,길,road,"그것은 매우 긴 길이었어요. / It was a long road. "
572,거리,street,"그 거리의 양쪽에 가로수가 서 있다. / There are trees on either side of the street. [cite: 2132"
573,흥미로운,interesting,"여자가 흥미로운 이야기를 듣고 있습니다. / The woman is listening to an interesting story. [cite: 2133"
574,심술궂은,mean,"심술궂은 여자는 아이들에게 소리를 질렀습니다. / The mean woman yelled at the children. "
575,지루해하는,bored,"지루해하는 아버지는 집에 갈 준비가 되었습니다. / The bored father is ready to go home. [cite: 2136"
576,칠백,seven hundred,"북극곰은 최고 칠백 킬로그램까지 나가요. / Polar bears can weigh up to seven hundred kilograms. [cite: 2137"
577,팔백,eight hundred,"그 밭은 팔백 헥타르입니다. / The field is eight hundred hectares. [cite: 2139"
578,이백,two hundred,"우리는 여기에 이백 권 이상의 책을 가지고 있습니다. / We have over two hundred books here. [cite: 2140"
579,삼백,three hundred,"이 학교에는 삼백 명의 학생이 있습니다. / This school has three hundred students. [cite: 2142"
580,육백,six hundred,"육 곱하기 백은 육백입니다. / Six times one hundred equals six hundred. [cite: 2143"
581,내놓다,take out,"쓰레기를 내놓아 줄래? / Can you take out the trash"
582,웨이터,waiter,"웨이터는 룸서비스를 하고 있습니다. / The waiter is delivering room service. [cite: 2145"
583,일기 예보,weather report,"내일 일기 예보는 아침에는 흐리지만"
584,섭씨,Celsius,"오늘의 온도는 섭씨 삼십 도입니다. / Today’s temperature is 30 degrees Celsius. "
585,쇼 프로그램,TV show,"그녀가 가장 좋아하는 쇼 프로그램은 오늘 밤에 합니다. / Her favorite TV show is on tonight. [cite: 2150"
586,조깅,jogging,"조깅을 시작하고부터 삼 킬로를 뺐습니다. / I’ve lost three kilograms since I started jogging. [cite: 2152"
587,패스트 푸드,fast food,"급할 때는 패스트 푸드가 좋은 선택이 될 수 있습니다. / Fast food can be a good option when you are in a hurry. [cite: 2153"
588,공원,park,"부부가 공원에서 걸어가고 있습니다. / The couple is walking in the park. "
589,신호등,traffic light,"심한 폭풍이 신호등을 고장냈습니다. / The severe storm damaged the traffic light. "
590,표지판,sign,"정지 표지판을 보면 멈춰야 합니다. / Stop when you see the stop sign. "
591,지하철,subway,"저는 사무실에 지하철로 갑니다. / I take the subway to the office. "
592,기차역,train station,"기차는 기차역에 있습니다. / The train is at the train station. "
593,오백,five hundred,"오백원만 주세요. / Please just give me five hundred won. "
594,구백구십구,nine hundred ninety nine,"우리는 이벤트를 위해 의자 구백구십구 개를 샀습니다. / We bought nine hundred ninety nine chairs for the event. [cite: 2161"
595,백일,one hundred one,"수학 상급반은 백일 호 교실입니다. / Advanced Mathematics is in classroom 101. [cite: 2162"
596,사백,four hundred,"책은 사백 페이지 정도의 두께였습니다. / The book was four hundred pages thick. [cite: 2163"
597,구백,nine hundred,"그 앤티크 수저는 구백년 된 것입니다. / The antique spoon was nine hundred years old. [cite: 2165"
598,인치,inch,"저는 방금 사십 인치 평면 스크린 텔레비전을 샀습니다. / I just bought a 40 inch flat screen television. [cite: 2166"
599,킬로그램,kilogram,"일 킬로그램은 천 그램입니다. / One kilogram is one thousand grams. "
600,센티미터,centimeter,"쌓여 있는 동전은 거의 팔 센티미터 높이입니다. / The stacked coins measure almost eight centimeters. [cite: 2169"
601,식당,restaurant,"우리가 제일 좋아하는 식당이 오늘 밤에는 꽉 찼습니다. / Our favorite restaurant is full tonight. [cite: 2172"
602,카페,café,"여자들이 야외의 카페에서 이야기하고 있습니다. / The women are talking at the outdoor cafe. [cite: 2174"
603,커피샾,coffee shop,"커피샾에서 시간을 보내고 있는 친구들 / The friends are hanging out at a coffee shop. [cite: 2175"
604,바,bar,"금요일 밤"
605,가구,furniture,"화재가 난 후"
606,풀,grass,"멧돼지들이 풀을 씹고 있습니다. / The wild boars are chewing the grass. "
607,토양,soil,"토양이 가뭄 때문에 갈라졌습니다. / The soil cracked due to the drought. "
608,흙,dirt,"벌레들이 흙 속에서 꿈틀거리고 있습니다. / The worms are squirming in the dirt. "
609,바위,rock,"호랑이가 바위 위에 누워 있습니다. / The tiger is lying on the rocks. [cite: 2182"
610,나무,tree,"우리는 매년 뒷마당에 있는 사과 나무의 사과를 먹습니다. / We eat fruit every year from the apple tree in my back yard. [cite: 2183"
611,도교,Taoism,"도교는 도가로서 알려져 있습니다. / Taoism is also known as Daoism. "
612,성경,Bible,"성경책은 문명의 역사에서 제일 많이 팔린 책입니다. / The Bible is the best-selling book in the history of civilization. [cite: 2186"
613,코란,Quran,"코란은 이슬람교의 성경책입니다. / The Quran is the holy book of the Islam religion. [cite: 2187"
614,신부,priest,"그는 신부에게 조언을 받았습니다. / He got advice from a priest. [cite: 2188"
615,유대교,Judaism,"유대교는 삼천 년 이상 동안 전해져 왔습니다. / Judaism has been practiced for over three thousand years. [cite: 2189"
616,천,one thousand,"내 지갑에 천 원 밖에 없습니다. / There is only one thousand won in my wallet. [cite: 2191"
617,이천,two thousand,"그것은 이천 달러입니다. / It costs two thousand dollars. "
618,팔천,eight thousand,"그 마을에는 팔천 명이 살고 있습니다. / Eight thousand people live in that village. [cite: 2194"
619,만,ten thousand,"만 명의 군인들이 전쟁터에 배치되었습니다. / Ten thousand soldiers were dispatched to the site of the battle. [cite: 2195"
620,사천,four thousand,"그 경기장은 사천 평방미터입니다. / The stadium is four thousand square meters. "
621,집주인,landlord,"형의 집주인은 수표를 받지 않습니다. / My brother’s landlord will not accept a check. [cite: 2198"
622,기숙사,dormitory,"대학생은 기숙사에서 살았습니다. / The college student lived in a dormitory. [cite: 2199"
623,아파트,apartment building,"이 아파트 건물에는 이십사 개의 아파트가 있습니다. / There are 24 apartments in this apartment building. [cite: 2200"
624,도시,city,"도시는 안개로 덮였습니다. / The city is covered in fog. "
625,농장,farm,"염소들이 농장에서 놀고 있다. / The goats are playing on the farm. [cite: 2203"
626,쓰나미,tsunami,"쓰나미가 도시를 쳤습니다. / The tsunami hit the city. [cite: 2204"
627,눈사태,avalanche,"눈사태가 스키 리조트를 파괴하였지만"
628,불,fire,"불이 타고 있습니다. / The fire is burning. "
629,지진,earthquake,"지진이 땅을 흔들고 있습니다. / The earthquake is shaking the ground. [cite: 2207"
630,모래 폭풍,sandstorm,"모래 폭풍이 착륙하였습니다. / The sandstorm has touched down. [cite: 2208"
631,장갑,glove,"장갑은 그의 손에 맞지 않았습니다. / The gloves did not fit his hands. [cite: 2209"
632,우산,umbrella,"비가 오는데 우산이 없습니다. / I don’t have an umbrella"
633,모자,hat,"빨간 스카프가 저 모자와 잘 어울릴 것 같아요. / A red scarf would look nice with that hat. [cite: 2212"
634,긴소매,long-sleeved,"긴소매 셔츠는 추운 날씨에 좋아요. / Long-sleeved shirts are good for cold weather. "
635,반소매,short-sleeved,"반소매 셔츠는 따뜻한 날씨에 더 좋아요. / Short-sleeved shirts are better when it is warm. [cite: 2215"
636,고통스러운,painful,"남자가 고통스러운 복통으로 괴로워하고 있습니다. / The man has a painful stomachache. [cite: 2216"
637,부끄러워하는,shy,"부끄러워하지마! / Don’t be shy! "
638,불안해하는,nervous,"비즈니스맨은 불안해하며 면접을 기다리고 있습니다. / The nervous businessman is waiting for the interview. "
639,신이 난,excited,"그 젊은 과학자는 신이 났습니다. / The young scientist was excited. "
640,당황스러운,embarrassed,"제 얼굴은 당황스러우면 빨개져요. / My face turns red when I am embarrassed. "
641,시골,country,"그들은 시골에 큰 집이 있습니다. / They have a big house in the country. [cite: 2221"
642,마을,village,"저는 작은 마을에서 자랐어요. / I grew up in a small village. [cite: 2222"
643,도시,town,"저는 도시를 걸어다니고 싶어요. / I want to go for a walk in town. [cite: 2223"
644,교외,suburb,"그는 도시에서 일하지만 교외 마을에서 삽니다. / He works in the city"
645,방,room,"포터는 방으로 짐을 옮겨주었습니다. / A porter carried our bags to our room. "
646,화상,burn,"그녀는 끓는 물을 왼손에 쏟아서 이 도 화상을 입었습니다. / She spilled boiling water on her left hand and has a second degree burn. [cite: 2227"
647,체스,chess,"나는 성급한 사람이어서 스피드 체스를 좋아합니다. / I’m not a patient person"
648,언어,language,"언어를 배우는 것이 재미있어요. / Learning languages is fun. [cite: 2230"
649,드라이 하다,blow-dry,"저는 매일 아침 머리카락을 드라이 해요. / I blow-dry my hair every morning. [cite: 2232"
650,무술,martial arts,"우리 무술사범님은 이십오년 동안 무술을 연습하셨습니다. / Our martial arts instructor has practiced for twenty five years. [cite: 2233"
651,만족스러워 하는,satisfied,"저는 결과에 만족스러워 하고 있어요. / I’m satisfied with the result. [cite: 2234"
652,평온한,calm,"바다가 평온해요. / The ocean is calm. [cite: 2235"
653,빗다,comb,"저는 매일 강아지 털을 빗어요. / I comb my dog every day. [cite: 2236"
654,가글하다,gargle,"저는 매일 수차례 입 안을 가글해요. / I gargle several times a day. [cite: 2237"
655,불만스러워하는,dissatisfied,"남자는 그 제품에 대해 불만스러워하고 있다. / The man is dissatisfied with the product. [cite: 2239"
656,오천,five thousand,"오천 명이 광장에 모여 시위하고 있었습니다. / Five thousand people were protesting on the square. [cite: 2240"
657,삼천,three thousand,"페루에는 감자 종류가 삼천 개가 넘습니다. / In Peru"
658,육천,six thousand,"삼계탕의 가격은 육천원입니다. / The price of the Samgyetang is six thousand won. [cite: 2243"
659,칠천,seven thousand,"그녀는 음반을 칠천 장 판매했습니다. / She sold seven thousand albums. [cite: 2244"
660,구천,nine thousand,"구천 명의 병력이 나라에서 철수했습니다. / Nine thousand troops withdrew from the country. [cite: 2245"
661,장미,rose,"제가 제일 좋아하는 꽃은 장미입니다. / Roses are my favorite flower. "
662,꽃,flower,"저는 매주 일요일 아침 아내에게 생생한 꽃을 가져다 줍니다. / Every Sunday morning I bring my wife fresh flowers. [cite: 2248"
663,백합,lily,"백합은 순결을 상징해요. / A lily symbolizes purity. [cite: 2249"
664,해바라기,sunflower,"해바라기꽃은 팔에서 십이 피트 정도의 높이까지 자랍니다. / Sunflowers grow to heights between 8-12 feet. [cite: 2250"
665,민들레,dandelion,"민들레는 잡초로 간주됩니다. / Dandelions are considered weeds. "
666,여행,traveling,"남자의 취미는 여행입니다. / The man’s hobby is traveling. "
667,운동,exercise,"아침부터 운동하고 있어요. / I have been exercising since morning. "
668,운동하다,workout,"매일 30분 운동하는 것은 건강에 좋습니다. / A 30 minute workout every day is good for your health. [cite: 2254"
669,독서,reading,"저는 독서를 좋아하지 않아요. / I don’t like reading. "
670,카드놀이,playing cards,"우리는 여름에 종종 카드놀이를 해요. / We often play cards on a warm summer evening."
